model,year,rmse_log,mae_log,r2,rmse,mae,n_samples
ensemble_C,all,1.5826257772495695,1.1107335817975228,0.8703152785456124,141544447.94901967,36871090.69582625,3505
ensemble_C,2017,1.3884465843589424,1.0290591311371615,0.8560865944326929,119545366.67531452,40421678.41292036,468
ensemble_C,2018,1.434913573023815,1.0128589762179006,0.8760774981143209,131420249.45982105,42073969.76282155,455
ensemble_C,2019,1.4265171190762178,1.0534027596100377,0.8737917617221649,175302673.77059025,51467526.40797018,386
ensemble_C,2020,1.526353565231887,1.0988496693249719,0.858158143874139,61163069.103485174,18852997.45899321,232
ensemble_C,2021,1.495404207694112,1.0369313681157848,0.8853290682177064,207956271.57958412,41380098.23132001,290
ensemble_C,2022,1.5578513986442426,1.0925204007715335,0.8706107366427543,119387031.23802045,32250438.02662525,332
ensemble_C,2023,1.5517394552735266,1.065508255283645,0.8874605913274083,114893156.69149686,30829596.307138503,471
ensemble_C,2024,1.7856319683486668,1.2588523157847848,0.8579013559962767,154869099.30503193,34685850.561945565,483
ensemble_C,2025,1.9567243543434671,1.3294257257312851,0.828290855378923,142420965.40881407,33377399.359724794,388
