feature,mean_abs_shap
x_budget_log,3.2478116605160867
x_runtime,0.38775222834784834
x_is_in_collection,0.2658515410552633
x_year,0.09017409085941225
x_cast_ratio_male,0.08943088785031615
x_cert_pg-13,0.06265441166402831
x_cast_ratio_female,0.06251842099800944
x_country_united_states_of_america,0.05997446762290727
x_wday_sin,0.041947924871046725
x_has_homepage,0.03672646728514609
x_day,0.029578690113209228
x_weekday,0.029115010211255572
x_directors_avg_revenue_prevyear,0.02592770504826326
x_month_sin,0.023931223423588204
x_origlang_en,0.023766363925182634
x_month,0.023493365379574516
x_cert_r,0.019947494605207984
x_wday_cos,0.019284765509869576
x_lang_english,0.016708526786379192
x_month_cos,0.015162395324339936
x_country_india,0.013605632617003961
x_cert_na,0.01174211835290487
x_num_spoken_languages,0.011738431093715073
x_origlang_fr,0.011050060534394921
x_cert_pg,0.009448624228961611
x_cert_15,0.008341758970779925
x_genre_comedy,0.006678437628203563
x_cert_nr,0.005445228771130445
x_origlang_es,0.005434381200270057
x_genre_drama,0.004924605755544739
x_lang_french,0.004457024439778545
x_country_united_kingdom,0.0044454770625088095
x_lang_spanish,0.004343586661383996
x_composers_avg_revenue_prevyear,0.0040991371536629444
x_cert_18,0.0033333290867425458
x_lang_mandarin,0.0032782376424455653
x_country_france,0.0029682892738636135
x_genre_horror,0.002857140301251304
x_country_china,0.00281717450761438
x_origlang_pt,0.0024467751350887718
x_genre_crime,0.0021154945900840856
x_country_brazil,0.0020948163919516584
x_genre_documentary,0.0020389202681888484
x_lang_arabic,0.0019756465895231813
x_country_australia,0.0015230544833551851
x_lang_portuguese,0.0014686231198707894
x_lead_cast_avg_revenue_prevyear,0.0011216087417684304
x_cert_12,0.001018308664301669
x_origlang_hi,0.0009320622826313757
x_origlang_it,0.000916679666025827
x_country_canada,0.0008567600053237686
x_cert_g,0.0007816976546179555
x_genre_animation,0.0007361240285562975
x_country_japan,0.0007217611554581148
x_cert_12a,0.000700131146307992
x_country_italy,0.0006850392765117867
x_lang_hindi,0.0006005359400566928
x_lang_japanese,0.0005789941775262239
x_country_spain,0.0005566973177213733
x_lang_german,0.0005033668584251865
x_country_south_korea,0.0005031636053746296
x_country_russia,0.0004968571228763532
x_cert_14,0.0004717658455869687
x_country_germany,0.0004586571386478353
x_genre_thriller,0.0004382356063715832
x_country_indonesia,0.00042381645926254405
x_cert_16,0.00041429059281687615
x_genre_action,0.00041094318717871273
x_lang_italian,0.0003685458793515592
x_lang_russian,0.0003674584823903078
x_origlang_ru,0.00035542942560797474
x_genre_romance,0.0003475966844891594
x_cert_u,0.00034070416717507646
x_cert_a,0.00032101808139597504
x_origlang_fa,0.00026365471664955084
x_lang_persian,0.00020202874884157546
x_lang_ukrainian,0.00018691945657960124
x_cert_ua,0.00017734065890765964
x_lang_korean,0.0001374687920658271
x_lang_indonesian,0.00012600747292824442
x_origlang_ko,0.0001071509452183081
x_country_denmark,8.246031439425151e-05
x_origlang_ml,7.584620206013023e-05
x_cast_ratio_nonbinary,7.10780676933843e-05
x_lang_telugu,6.891776675089396e-05
x_country_iran,6.371419803778644e-05
x_genre_fantasy,5.957942062393151e-05
x_cert_m,5.827571859590822e-05
x_genre_music,5.816637602938196e-05
x_genre_adventure,5.5259523117286204e-05
x_lang_turkish,5.258787667463521e-05
x_cert_nc-17,4.4439190351071445e-05
x_cert_l,3.773842823549851e-05
x_country_belgium,3.368238059335509e-05
x_kw_based_on_novel_or_book,3.230683801876902e-05
x_lang_malayalam,2.6605121985741932e-05
x_lang_tamil,2.6044023360503825e-05
x_lang_bengali,1.7376646600309385e-05
x_genre_mystery,1.4963464560678528e-05
x_kw_family,6.026932268741489e-06
x_country_sweden,3.4170379929786363e-06
x_country_hong_kong,2.7484585117454076e-06
x_kw_based_on_true_story,1.4342711711237309e-06
x_cert_6,6.729331488767051e-07
x_genre_family,0.0
x_genre_science_fiction,0.0
x_genre_history,0.0
x_genre_war,0.0
x_genre_western,0.0
x_genre_tv_movie,0.0
x_cert_13,0.0
x_kw_sequel,0.0
x_kw_friendship,0.0
x_kw_amused,0.0
x_kw_aftercreditsstinger,0.0
x_kw_wrestling,0.0
x_kw_duringcreditsstinger,0.0
x_kw_biography,0.0
x_kw_pro_wrestling,0.0
x_kw_based_on_comic,0.0
x_kw_woman_director,0.0
x_kw_superhero,0.0
x_kw_new_york_city,0.0
x_kw_california,0.0
x_kw_remake,0.0
x_kw_father_daughter_relationship,0.0
x_kw_revenge,0.0
x_kw_murder,0.0
